block,time_s,raw_az_L,raw_el_L,raw_az_R,raw_el_R,smooth_az_L,smooth_el_L,smooth_az_R,smooth_el_R,mid_easting_m,mid_northing_m,dist_L_m,dist_R_m
46,3441.200,-52.0,84.0,-96.0,80.0,-78.6,76.6,-95.2,70.5,287109.607,6228863.427,727.519,731.610
47,3441.300,-40.0,84.0,-84.0,80.0,-77.8,76.8,-95.0,70.7,287112.133,6228864.984,726.851,730.890
48,3441.400,-12.0,84.0,-80.0,84.0,-76.4,76.9,-94.7,70.9,287115.293,6228867.447,726.038,730.010
49,3441.500,-12.0,84.0,-80.0,84.0,-75.1,77.0,-94.4,71.2,287118.356,6228869.743,725.270,729.176
50,3441.600,-12.0,84.0,-80.0,84.0,-73.9,77.2,-94.1,71.5,287121.324,6228871.884,724.542,728.385
51,3441.700,0.0,84.0,-80.0,84.0,-72.5,77.3,-93.8,71.7,287124.295,6228874.186,723.834,727.614
52,3441.800,12.0,84.0,-100.0,84.0,-70.9,77.4,-94.0,71.9,287127.334,6228875.876,723.113,726.829
53,3441.900,0.0,84.0,-92.0,88.0,-69.6,77.6,-93.9,72.2,287130.668,6228877.495,722.333,725.980
54,3442.000,12.0,84.0,-80.0,84.0,-68.1,77.7,-93.7,72.4,287133.492,6228879.666,721.711,725.297
55,3442.100,0.0,84.0,-56.0,84.0,-66.9,77.8,-93.0,72.6,287136.087,6228882.252,721.175,724.702
56,3442.200,12.0,84.0,-40.0,84.0,-65.5,77.9,-92.1,72.8,287138.715,6228885.458,720.674,724.139
57,3442.300,0.0,84.0,-12.0,84.0,-64.3,78.0,-90.7,73.0,287141.172,6228889.124,720.257,723.661
58,3442.400,12.0,84.0,-40.0,84.0,-63.1,78.1,-89.8,73.2,287143.727,6228891.934,719.802,723.146
59,3442.500,20.0,80.0,-40.0,84.0,-61.7,78.1,-89.0,73.4,287145.943,6228894.925,719.452,722.743
60,3442.600,36.0,80.0,-40.0,84.0,-60.1,78.2,-88.2,73.6,287148.303,6228898.049,719.097,722.330
61,3442.700,36.0,80.0,-40.0,84.0,-58.5,78.2,-87.4,73.7,287150.645,6228901.004,718.757,721.934
62,3442.800,36.0,80.0,-40.0,88.0,-57.0,78.2,-86.7,74.0,287153.385,6228903.777,718.339,721.452
63,3442.900,36.0,80.0,-40.0,88.0,-55.6,78.2,-85.9,74.2,287156.085,6228906.391,717.939,720.990
64,3443.000,20.0,80.0,0.0,84.0,-54.4,78.3,-84.6,74.3,287158.252,6228909.687,717.720,720.715
65,3443.100,36.0,80.0,-40.0,88.0,-53.0,78.3,-83.9,74.5,287160.882,6228911.995,717.350,720.286
66,3443.200,36.0,80.0,0.0,84.0,-51.7,78.3,-82.7,74.7,287163.201,6228915.209,717.133,720.011
67,3443.300,36.0,80.0,0.0,84.0,-50.4,78.4,-81.5,74.8,287165.514,6228918.256,716.925,719.746
68,3443.400,36.0,80.0,0.0,84.0,-49.2,78.4,-80.3,75.0,287167.816,6228921.146,716.725,719.490
69,3443.500,36.0,80.0,0.0,84.0,-47.9,78.4,-79.1,75.1,287170.104,6228923.886,716.533,719.242
70,3443.600,36.0,80.0,12.0,84.0,-46.1,78.6,-77.5,75.4,287175.166,6228926.874,715.864,718.462
71,3443.700,48.0,76.0,88.0,88.0,-44.1,78.7,-74.9,75.8,287181.198,6228931.303,715.219,717.681
72,3443.800,48.0,76.0,12.0,84.0,-42.1,78.9,-73.3,76.2,287186.268,6228934.158,714.643,716.993
73,3443.900,48.0,76.0,12.0,84.0,-40.1,79.0,-71.7,76.5,287191.028,6228936.898,714.151,716.396
74,3444.000,48.0,76.0,12.0,84.0,-38.1,79.1,-70.1,76.7,287195.828,6228939.425,713.671,715.810
75,3444.100,48.0,76.0,88.0,88.0,-36.1,79.2,-67.4,77.1,287201.913,6228942.873,713.150,715.153
76,3444.200,48.0,76.0,52.0,84.0,-34.2,79.3,-65.2,77.4,287207.053,6228945.580,712.737,714.627
77,3444.300,48.0,76.0,36.0,80.0,-32.1,79.4,-63.3,77.7,287211.881,6228947.988,712.375,714.159
78,3444.400,48.0,76.0,36.0,80.0,-30.1,79.5,-61.4,77.9,287216.705,6228950.106,712.016,713.694
79,3444.500,48.0,76.0,36.0,80.0,-28.0,79.7,-59.5,78.1,287221.549,6228952.003,711.665,713.237
80,3444.600,48.0,76.0,36.0,80.0,-25.9,79.7,-57.5,78.3,287226.284,6228954.067,711.386,712.855
81,3444.700,48.0,76.0,36.0,80.0,-23.9,79.8,-55.7,78.6,287230.950,6228955.836,711.111,712.478
82,3444.800,44.0,72.0,36.0,80.0,-21.9,79.8,-53.8,78.7,287235.204,6228957.952,710.962,712.235
83,3444.900,56.0,72.0,36.0,80.0,-19.8,79.7,-51.9,78.9,287239.500,6228960.278,710.871,712.048
84,3445.000,56.0,72.0,48.0,76.0,-17.8,79.7,-49.8,79.1,287243.983,6228962.202,710.738,711.815
85,3445.100,56.0,72.0,48.0,76.0,-15.8,79.7,-47.8,79.2,287248.200,6228964.544,710.723,711.706
86,3445.200,44.0,72.0,48.0,76.0,-13.9,79.6,-45.7,79.3,287252.306,6228966.673,710.717,711.608
87,3445.300,56.0,72.0,48.0,76.0,-11.8,79.5,-43.7,79.4,287256.665,6228968.684,710.704,711.498
88,3445.400,56.0,72.0,48.0,76.0,-9.8,79.5,-41.6,79.5,287261.023,6228970.512,710.694,711.392
89,3445.500,56.0,72.0,48.0,76.0,-7.8,79.4,-39.7,79.7,287265.288,6228972.048,710.674,711.279
90,3445.600,44.0,72.0,48.0,76.0,-5.9,79.4,-37.7,79.8,287269.616,6228973.527,710.670,711.181
91,3445.700,56.0,72.0,44.0,72.0,-3.9,79.3,-35.7,79.8,287273.919,6228975.113,710.715,711.131
92,3445.800,56.0,72.0,48.0,4.0,-1.8,79.3,-33.6,78.9,287274.931,6228981.690,711.791,712.162
93,3445.900,52.0,68.0,44.0,72.0,0.2,79.1,-31.6,79.0,287279.458,6228983.428,711.904,712.175
94,3446.000,52.0,68.0,48.0,76.0,2.2,79.0,-29.5,79.1,287284.293,6228984.719,711.959,712.127
95,3446.100,52.0,68.0,44.0,72.0,3.9,78.9,-27.6,79.1,287288.448,6228986.424,712.143,712.219
96,3446.200,52.0,68.0,44.0,72.0,5.7,78.8,-25.7,79.1,287292.678,6228987.993,712.328,712.312
97,3446.300,52.0,68.0,44.0,72.0,7.5,78.6,-23.7,79.1,287297.028,6228989.782,712.581,712.469
98,3446.400,56.0,68.0,44.0,72.0,9.3,78.5,-21.8,79.1,287301.467,6228991.426,712.837,712.628
99,3446.500,56.0,68.0,44.0,72.0,11.0,78.3,-19.8,79.0,287305.867,6228993.261,713.160,712.855
100,3446.600,52.0,68.0,44.0,72.0,12.7,78.1,-17.9,79.0,287310.299,6228994.969,713.491,713.089
101,3446.700,52.0,68.0,44.0,72.0,14.5,77.9,-15.9,78.9,287314.828,6228996.531,713.826,713.326
102,3446.800,60.0,64.0,44.0,72.0,16.3,77.7,-13.9,78.9,287319.763,6228998.271,714.235,713.627
103,3446.900,52.0,68.0,52.0,68.0,18.0,77.5,-11.9,78.7,287324.545,6228999.905,714.657,713.946
104,3447.000,64.0,68.0,44.0,68.0,19.7,77.4,-10.1,78.6,287329.160,6229001.330,715.067,714.257
105,3447.100,60.0,64.0,56.0,72.0,21.4,77.1,-8.1,78.6,287334.194,6229002.648,715.503,714.586
106,3447.200,60.0,64.0,52.0,68.0,23.1,76.9,-6.0,78.5,287339.503,6229004.098,716.016,714.986
107,3447.300,60.0,64.0,56.0,72.0,25.1,76.6,-3.9,78.4,287345.333,6229005.224,716.531,715.378
108,3447.400,64.0,64.0,52.0,68.0,27.1,76.3,-2.0,78.3,287351.190,6229006.445,717.116,715.840
109,3447.500,60.0,64.0,52.0,68.0,28.8,76.1,0.1,78.2,287357.008,6229007.647,717.744,716.346
110,3447.600,56.0,60.0,52.0,68.0,30.3,75.7,2.1,78.0,287362.692,6229009.460,718.539,717.021
111,3447.700,64.0,64.0,52.0,68.0,32.4,75.4,4.1,77.8,287369.167,6229010.314,719.245,717.594
112,3447.800,64.0,64.0,52.0,68.0,34.6,75.1,6.3,77.7,287376.434,6229011.025,720.055,718.255
113,3447.900,56.0,60.0,52.0,68.0,36.0,74.7,8.6,77.5,287382.935,6229012.182,720.953,719.019
