X,Y,Z
6.185112196020781994e+00,7.960990740309995317e+00,-4.795221077278256416e+00
6.185381244868040085e+00,7.960990740309995317e+00,-4.776878830045461655e+00
6.184903900139033794e+00,7.960990740309995317e+00,-4.767789499834179878e+00
6.178230301477015018e+00,7.960990740309995317e+00,-4.791837310418486595e+00
6.176465664058923721e+00,7.960990740309995317e+00,-4.781784018501639366e+00
6.163297847844660282e+00,7.960990740309995317e+00,-4.772406445816159248e+00
6.159216943196952343e+00,7.960990740309995317e+00,-4.764042397961020470e+00
6.145605397410690784e+00,7.960990740309995317e+00,-4.754884559661149979e+00
6.140657112002372742e+00,7.960990740309995317e+00,-4.745664956048130989e+00
6.126571015454828739e+00,7.960990740309995317e+00,-4.738593678921461105e+00
6.119494130834937096e+00,7.960990740309995317e+00,-4.730034543201327324e+00
6.103138516657054424e+00,7.960990740309995317e+00,-4.728615775704383850e+00
6.095004919916391373e+00,7.960990740309995317e+00,-4.723146904259920120e+00
6.081812607124447823e+00,7.960990740309995317e+00,-4.718746921047568321e+00
6.070510216988623142e+00,7.960990740309995317e+00,-4.712651146575808525e+00
6.060178073123097420e+00,7.960990740309995317e+00,-4.712330972775816917e+00
6.050528720952570438e+00,7.960990740309995317e+00,-4.709667442366480827e+00
6.041105981916189194e+00,7.960990740309995317e+00,-4.715850176289677620e+00
6.032349054701626301e+00,7.960990740309995317e+00,-4.716516073793172836e+00
6.025435971096158028e+00,7.960990740309995317e+00,-4.720828440040349960e+00
6.019086213782429695e+00,7.960990740309995317e+00,-4.721681173890829086e+00
6.014034977182745934e+00,7.960990740309995317e+00,-4.724117249250411987e+00
6.007690021768212318e+00,7.960990740309995317e+00,-4.728100616484880447e+00
6.003100547008216381e+00,7.960990740309995317e+00,-4.734612086787819862e+00
5.997104851529002190e+00,7.960990740309995317e+00,-4.740178188309073448e+00
5.991390953771770000e+00,7.960990740309995317e+00,-4.742914561182260513e+00
5.983752652071416378e+00,7.960990740309995317e+00,-4.746255900710821152e+00
5.978970537893474102e+00,7.960990740309995317e+00,-4.748683286830782890e+00
5.974165626801550388e+00,7.960990740309995317e+00,-4.750101372599601746e+00
5.973363681696355343e+00,7.960990740309995317e+00,-4.750421030446887016e+00
5.970151075161993504e+00,7.960990740309995317e+00,-4.749000774696469307e+00
