Audio_Time,CSV_Time,Estimated_Azimuth,Estimated_Elevation,CSV_Azimuth,CSV_Elevation,Azimuth_Diff,Elevation_Diff,Distance_Meters
3.1,2300.0,30,10,-6.0,-0.659631749835039,36.0,10.65963174983504,13.152388196654066
3.2,2400.0,20,10,-6.0,-0.659631749835039,26.0,10.65963174983504,13.152388196654066
3.3000000000000003,2500.0,20,20,-6.0,-0.659631749835039,26.0,20.65963174983504,13.152388196654066
3.4000000000000004,2600.0,10,20,-5.99114173588157,-0.6594513836278497,15.99114173588157,20.65945138362785,13.15327956181787
3.5,2700.0,0,10,-5.982284675185866,-0.659270978393764,5.982284675185866,10.659270978393764,13.154171240848816
3.6,2800.0,10,20,-5.973428818090923,-0.6590905341665616,15.973428818090923,20.659090534166562,13.155063233683077
3.7,2900.0,-10,10,-5.946868476717782,-0.6585489681166021,4.053131523282218,10.658548968116602,13.157741093117972
3.8000000000000003,3000.0,-10,10,-5.936598506216342,-0.6562963024894177,4.063401493783658,10.656296302489418,13.168891477733355
3.9000000000000004,3100.0,10,20,-5.917511326057905,-0.21950243919262213,15.917511326057905,20.219502439192624,13.176684715589952
4.0,3200.0,-10,10,-5.927943911840941,0.21771422889101522,4.072056088159059,9.782285771108985,13.19237578491561
4.1,3300.0,-10,10,-5.908909828741258,0.6531392086384868,4.091090171258742,9.346860791361513,13.201699409322494
4.2,3400.0,-10,10,-5.8449473031359105,1.091028075473766,4.1550526968640895,8.908971924526234,13.256890326577697
4.300000000000001,3500.0,-10,10,-5.827825329749828,1.9555608802139322,4.172174670250172,8.044439119786068,13.287379253153729
4.4,3600.0,-10,10,-5.749736016470592,2.815554711059279,4.250263983529408,7.18444528894072,13.32717936476838
4.5,3700.0,-10,10,-5.685127997040524,3.670402312703329,4.314872002959476,6.329597687296671,13.368633563709254
4.6,3800.0,-10,20,-5.385097509033642,4.945394786985393,4.614902490966358,15.054605213014607,13.422301802607418
4.7,3900.0,-10,20,-5.245264278079873,6.211613348288096,4.754735721920127,13.788386651711903,13.47616568207431
4.800000000000001,4000.0,-10,20,-4.863320677655338,7.464730618130529,5.136679322344662,12.53526938186947,13.542513748787528
4.9,4100.0,-10,20,-4.607522513572604,9.134816404386479,5.392477486427396,10.865183595613521,13.604135555814237
5.0,4200.0,-10,20,-4.496763458268333,10.792016554965002,5.503236541731667,9.207983445034998,13.67170245150333
5.1,4300.0,-10,20,-4.407233532859834,12.425565632969086,5.592766467140166,7.574434367030914,13.758409428880729
5.2,4400.0,-10,20,-4.5350803668378035,13.669772046278162,5.4649196331621965,6.330227953721838,13.79188854521139
5.300000000000001,4500.0,-10,20,-4.539021209173484,14.472258947294671,5.460978790826516,5.527741052705329,13.843299077970055
5.4,4600.0,-10,20,-4.78208530427338,15.70492052074522,5.21791469572662,4.295079479254779,13.885160990646735
5.5,4700.0,-10,20,-4.966086432734841,16.524588434661087,5.033913567265159,3.475411565338913,13.91450344720885
5.6,4800.0,-10,20,-5.27452180029951,16.946820807878133,4.72547819970049,3.053179192121867,13.917729510079774
5.7,4900.0,-10,20,-5.385541392990319,17.345602812206728,4.614458607009681,2.654397187793272,13.942279635677963
5.800000000000001,5000.0,-10,20,-5.703203766348793,17.801112272937573,4.296796233651207,2.198887727062427,13.917404533859477
5.9,5100.0,-10,20,-5.789976395668447,18.206794398662066,4.210023604331553,1.7932056013379345,13.936312829074959
6.0,5200.0,-10,20,-5.847399119758592,18.655430587129523,4.152600880241408,1.3445694128704773,13.920029723930545
6.1,5300.0,-10,20,-5.972410116037622,18.69453527892946,4.027589883962378,1.305464721070539,13.88834869656871
6.2,5400.0,-10,20,-5.9942820732620135,18.697180747389194,4.0057179267379865,1.3028192526108064,13.88621088633353
6.300000000000001,5500.0,-10,20,-5.995729971242923,19.104004826265047,4.004270028757077,0.8959951737349527,13.905457832829423
6.4,5600.0,-10,20,-5.956213196806658,19.13598091499339,4.043786803193342,0.8640190850066105,13.880286120072647
6.5,5700.0,-10,20,-5.929903014466191,19.132718897008555,4.070096985533809,0.8672811029914449,13.882849621569173
6.6,5800.0,-10,20,-5.843612266878068,19.13430763476236,4.156387733121932,0.8656923652376385,13.881600966361015
6.7,5900.0,-10,20,-5.820391877583546,19.119103598317952,4.179608122416454,0.8808964016820475,13.893560109027648
6.800000000000001,6000.0,-10,20,-5.7835850106301905,19.139145545384746,4.2164149893698095,0.8608544546152537,13.877800099507716
6.9,6100.0,-10,20,-5.766063631387226,19.13695545955,4.233936368612774,0.8630445404500016,13.879520453273509
7.0,6200.0,-10,20,-5.634804990168476,19.120499156931587,4.365195009831524,0.8795008430684135,13.892461495363369
7.1,6300.0,-10,20,-5.704776259142136,19.129282567372183,4.295223740857864,0.8707174326278171,13.885551181290408
7.200000000000001,6400.0,-10,20,-5.504884275713778,19.11644393872817,4.495115724286222,0.883556061271829,13.89565435410909
7.300000000000001,6500.0,-10,20,-5.525627615378227,19.106744571457885,4.474372384621773,0.8932554285421155,13.90329734853689
7.4,6600.0,-10,20,-5.3581248536980866,19.06096022882611,4.6418751463019134,0.9390397711738885,13.939494117186856
7.5,6700.0,-10,20,-5.336402399321429,19.058201350035304,4.663597600678571,0.9417986499646958,13.941681573046013
7.6,6800.0,-10,20,-5.214052818192215,19.030372829783566,4.785947181807785,0.9696271702164339,13.963786471796256
7.700000000000001,6900.0,-10,20,-5.148315991030984,19.00975148519012,4.851684008969016,0.9902485148098812,13.980213927586759
7.800000000000001,7000.0,-10,20,-5.172649643850178,18.98846343308612,4.827350356149822,1.011536566913879,13.997214998372709
