datetime,Timestamp,Altitude,Speed,Direction,Latitude,Longitude
2025-06-11 06:43:30.000,1749624210.0,150.0,1.0,180.0,-33.800228,150.988998
2025-06-11 06:43:30.100,1749624210.1,150.46296296296296,1.1222222222222222,180.33703703703705,-33.80022782962963,150.98899523333336
2025-06-11 06:43:30.200,1749624210.2,150.92592592592592,1.2444444444444445,180.67407407407407,-33.80022765925926,150.98899246666667
2025-06-11 06:43:30.300,1749624210.3,151.38888888888889,1.3666666666666667,181.01111111111112,-33.800227488888886,150.98898970000002
2025-06-11 06:43:30.400,1749624210.4,151.85185185185185,1.488888888888889,181.34814814814814,-33.800227318518516,150.98898693333334
2025-06-11 06:43:30.500,1749624210.5,152.3148148148148,1.6111111111111112,181.6851851851852,-33.800227148148146,150.98898416666668
2025-06-11 06:43:30.600,1749624210.6,152.77777777777777,1.7333333333333334,182.0222222222222,-33.800226977777776,150.9889814
2025-06-11 06:43:30.700,1749624210.7,153.24074074074073,1.8555555555555556,182.35925925925926,-33.800226807407405,150.98897863333335
2025-06-11 06:43:30.800,1749624210.8,153.7037037037037,1.9777777777777779,182.69629629629628,-33.800226637037035,150.98897586666666
2025-06-11 06:43:30.900,1749624210.9,154.16666666666666,2.0999999999999996,183.03333333333333,-33.800226466666665,150.9889731
2025-06-11 06:43:31.000,1749624211.0,154.62962962962962,2.2222222222222223,183.37037037037038,-33.800226296296294,150.98897033333336
2025-06-11 06:43:31.100,1749624211.1,155.09259259259258,2.344444444444444,183.7074074074074,-33.800226125925924,150.98896756666667
2025-06-11 06:43:31.200,1749624211.2,155.55555555555554,2.466666666666667,184.04444444444445,-33.800225955555554,150.98896480000002
2025-06-11 06:43:31.300,1749624211.3,156.0185185185185,2.5888888888888886,184.38148148148147,-33.800225785185184,150.98896203333334
2025-06-11 06:43:31.400,1749624211.4,156.4814814814815,2.7111111111111112,184.71851851851852,-33.80022561481481,150.98895926666668
2025-06-11 06:43:31.500,1749624211.5,156.94444444444446,2.833333333333333,185.05555555555554,-33.80022544444444,150.9889565
2025-06-11 06:43:31.600,1749624211.6,157.40740740740742,2.9555555555555557,185.3925925925926,-33.80022527407407,150.98895373333335
2025-06-11 06:43:31.700,1749624211.7,157.87037037037038,3.0777777777777775,185.72962962962964,-33.8002251037037,150.98895096666666
2025-06-11 06:43:31.800,1749624211.8,158.33333333333334,3.1999999999999997,186.06666666666666,-33.80022493333333,150.9889482
2025-06-11 06:43:31.900,1749624211.9,158.7962962962963,3.322222222222222,186.4037037037037,-33.80022476296296,150.98894543333333
2025-06-11 06:43:32.000,1749624212.0,159.25925925925927,3.444444444444444,186.74074074074073,-33.80022459259259,150.98894266666667
2025-06-11 06:43:32.100,1749624212.1,159.72222222222223,3.5666666666666664,187.07777777777778,-33.80022442222222,150.98893990000002
2025-06-11 06:43:32.200,1749624212.2,160.1851851851852,3.6888888888888887,187.4148148148148,-33.80022425185185,150.98893713333334
2025-06-11 06:43:32.300,1749624212.3,160.64814814814815,3.811111111111111,187.75185185185185,-33.80022408148148,150.98893436666668
2025-06-11 06:43:32.400,1749624212.4,161.11111111111111,3.933333333333333,188.0888888888889,-33.80022391111111,150.9889316
2025-06-11 06:43:32.500,1749624212.5,161.57407407407408,4.055555555555555,188.42592592592592,-33.80022374074074,150.98892883333335
2025-06-11 06:43:32.600,1749624212.6,162.03703703703704,4.177777777777777,188.76296296296297,-33.80022357037037,150.98892606666666
2025-06-11 06:43:32.700,1749624212.7,162.5,4.3,189.1,-33.8002234,150.9889233
2025-06-11 06:43:32.800,1749624212.8,162.96296296296296,4.4222222222222225,189.43703703703704,-33.80022322962963,150.98892053333333
2025-06-11 06:43:32.900,1749624212.9,163.42592592592592,4.544444444444444,189.77407407407406,-33.80022305925926,150.98891776666667
2025-06-11 06:43:33.000,1749624213.0,163.88888888888889,4.666666666666666,190.11111111111111,-33.80022288888889,150.98891500000002
2025-06-11 06:43:33.100,1749624213.1,164.35185185185185,4.788888888888889,190.44814814814814,-33.80022271851852,150.98891223333334
2025-06-11 06:43:33.200,1749624213.2,164.8148148148148,4.911111111111111,190.78518518518518,-33.80022254814815,150.98890946666668
2025-06-11 06:43:33.300,1749624213.3,165.27777777777777,5.033333333333333,191.12222222222223,-33.80022237777778,150.9889067
2025-06-11 06:43:33.400,1749624213.4,165.74074074074073,5.155555555555555,191.45925925925926,-33.8002222074074,150.98890393333335
2025-06-11 06:43:33.500,1749624213.5,166.2037037037037,5.277777777777778,191.7962962962963,-33.80022203703703,150.98890116666666
2025-06-11 06:43:33.600,1749624213.6,166.66666666666666,5.3999999999999995,192.13333333333333,-33.80022186666666,150.9888984
2025-06-11 06:43:33.700,1749624213.7,167.12962962962962,5.522222222222222,192.47037037037038,-33.80022169629629,150.98889563333333
2025-06-11 06:43:33.800,1749624213.8,167.59259259259258,5.644444444444444,192.8074074074074,-33.80022152592592,150.98889286666667
2025-06-11 06:43:33.900,1749624213.9,168.05555555555554,5.766666666666667,193.14444444444445,-33.80022135555555,150.98889010000002
2025-06-11 06:43:34.000,1749624214.0,168.51851851851853,5.888888888888888,193.48148148148147,-33.80022118518518,150.98888733333334
2025-06-11 06:43:34.100,1749624214.1,168.98148148148147,6.011111111111111,193.81851851851852,-33.80022101481481,150.98888456666668
2025-06-11 06:43:34.200,1749624214.2,169.44444444444446,6.133333333333333,194.15555555555557,-33.80022084444444,150.9888818
2025-06-11 06:43:34.300,1749624214.3,169.90740740740742,6.2555555555555555,194.4925925925926,-33.80022067407407,150.98887903333335
