block,time_s,raw_az_N,raw_el_N,smooth_az_N,smooth_el_N,raw_az_S,raw_el_S,smooth_az_S,smooth_el_S,raw_az_E,raw_el_E,smooth_az_E,smooth_el_E,raw_az_W,raw_el_W,smooth_az_W,smooth_el_W,x_est_m,y_est_m,z_est_m,rms_err_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m
215,21.5,-167,31,-167,30.7,167,32,167.7,31.3,158,30,158,30,177,26,175.7,25,322943.763,6256666.821,-28.784,25.063,nan,nan,nan,nan
216,21.6,-167,31,-167,30.7,167,31,167.3,31.3,159,31,158.3,30.3,178,25,176.7,25.3,322943.798,6256668.69,-30.039,24.837,nan,nan,nan,nan
217,21.7,-167,32,-167,31.3,169,30,167.7,31,159,31,158.7,30.7,178,25,177.7,25.3,322943.814,6256673.106,-32.62,24.321,nan,nan,nan,nan
218,21.8,-166,32,-166.7,31.7,169,30,168.3,30.3,158,30,158.7,30.7,178,25,178,25,322943.908,6256675.936,-33.852,23.861,nan,nan,nan,nan
219,21.9,-167,31,-166.7,31.7,168,31,168.7,30.3,162,30,159.7,30.3,177,26,177.7,25.3,322944.217,6256675.277,-33.445,24.126,nan,nan,nan,nan
220,22,-167,31,-166.7,31.3,168,31,168.3,30.7,159,32,159.7,30.7,177,26,177.3,25.7,322944.228,6256672.966,-32.437,24.428,nan,nan,nan,nan
221,22.1,-167,31,-167,31,169,32,168.3,31.3,160,31,160.3,31,177,26,177,26,322944.501,6256670.52,-31.439,24.868,nan,nan,nan,nan
222,22.2,-166,32,-166.7,31.3,169,31,168.7,31.3,160,31,159.7,31.3,177,26,177,26,322944.417,6256671.599,-32.251,24.677,nan,nan,nan,nan
223,22.3,-166,32,-166.3,31.7,169,32,169,31.7,159,32,159.7,31.3,179,25,177.7,25.7,322944.703,6256672.537,-32.89,24.511,nan,nan,nan,nan
224,22.4,-165,32,-165.7,32,169,32,169,31.7,159,32,159.3,31.7,179,25,178.3,25.3,322944.877,6256673.101,-33.278,24.242,nan,nan,nan,nan
225,22.5,-166,32,-165.7,32,170,32,169.3,32,159,32,159,32,-179,26,59.7,25.3,322957.486,6256623.786,2.853,21.82,19.767,44.272,27.663,43.65
226,22.6,-165,32,-165.3,32,170,32,169.7,32,159,32,159,32,-179,26,-59.7,25.7,322955.18,6256611.53,-1.368,25.495,nan,nan,nan,nan
227,22.7,-164,32,-165,32,170,32,170,32,159,32,159,32,-179,26,-179,26,322945.763,6256678.367,-36.931,23.221,nan,nan,nan,nan
228,22.8,-164,33,-164.3,32.3,171,31,170.3,31.7,160,31,159.3,31.7,-179,26,-179,26,322946.047,6256678.307,-36.682,23.156,nan,nan,nan,nan
229,22.9,-164,33,-164,32.7,170,32,170.3,31.7,159,32,159.3,31.7,-179,26,-179,26,322946.114,6256677.91,-36.529,23.16,nan,nan,nan,nan
230,23,-163,33,-163.7,33,170,32,170.3,31.7,160,32,159.7,31.7,-179,26,-179,26,322946.263,6256677.452,-36.32,23.224,nan,nan,nan,nan
231,23.1,-163,33,-163.3,33,171,32,170.3,32,161,33,160,32.3,-177,27,-178.3,26.3,322946.646,6256677.528,-36.869,23.166,nan,nan,nan,nan
232,23.2,-163,33,-163,33,172,32,171,32,161,33,160.7,32.7,-177,28,-177.7,27,322947.267,6256679.343,-38.326,22.934,nan,nan,nan,nan
233,23.3,-161,32,-162.3,32.7,172,32,171.7,32,161,33,161,33,-177,28,-177,27.7,322947.939,6256679.919,-38.978,22.739,nan,nan,nan,nan
234,23.4,-161,33,-161.7,32.7,172,32,172,32,163,33,161.7,33,-174,26,-176,27.3,322948.688,6256680.314,-39.056,22.508,nan,nan,nan,nan
235,23.5,-162,33,-161.3,32.7,172,32,172,32,161,33,161.7,33,-177,27,-176,27,322948.761,6256679.417,-38.362,22.552,nan,nan,nan,nan
236,23.6,-159,33,-160.7,33,172,32,172,32,164,34,162.7,33.3,-176,27,-175.7,26.7,322949.239,6256678.654,-37.904,22.627,nan,nan,nan,nan
237,23.7,-159,33,-160,33,173,33,172.3,32.3,164,34,163,33.7,-175,26,-176,26.7,322949.465,6256676.607,-36.894,22.941,nan,nan,nan,nan
238,23.8,-159,33,-159,33,172,32,172.3,32.3,165,33,164.3,33.7,-175,26,-175.3,26.3,322950.127,6256675.004,-35.73,23.045,nan,nan,nan,nan
239,23.9,-159,33,-159,33,172,32,172.3,32.3,165,33,164.7,33.3,-174,26,-174.7,26,322950.426,6256675.649,-35.888,22.885,nan,nan,nan,nan
240,24,-18,10,-112,25.3,173,33,172.3,32.3,165,33,165,33,-174,27,-174.3,26.3,322950.19,6256644.392,-16.556,24.415,nan,nan,nan,nan
241,24.1,-160,33,-112.3,25.3,174,32,173,32.3,167,33,165.7,33,-174,26,-174,26.3,322950.543,6256644.537,-16.638,24.359,nan,nan,nan,nan
242,24.2,-161,34,-113,25.7,176,32,174.3,32.3,165,33,165.7,33,-174,26,-174,26.3,322950.988,6256645.015,-16.947,24.273,nan,nan,nan,nan
243,24.3,-159,33,-160,33.3,176,33,175.3,32.3,167,33,166.3,33,-174,27,-174,26.3,322952.259,6256684.349,-41.252,22.241,nan,nan,nan,nan
244,24.4,-159,34,-159.7,33.7,176,33,176,32.7,168,33,166.7,33,-173,27,-173.7,26.7,322952.83,6256684.996,-42.088,22.203,nan,nan,nan,nan
245,24.5,-159,34,-159,33.7,176,32,176,32.7,168,34,167.7,33.3,-173,28,-173.3,27.3,322953.305,6256684.345,-42.107,22.313,nan,nan,nan,nan
246,24.6,-159,33,-159,33.7,176,33,176,32.7,167,34,167.7,33.7,-171,27,-172.3,27.3,322953.8,6256686.303,-43.483,21.864,nan,nan,nan,nan
247,24.7,-159,34,-159,33.7,176,33,176,32.7,168,34,167.7,34,-173,27,-172.3,27.3,322953.821,6256686.466,-43.704,21.833,nan,nan,nan,nan
248,24.8,-158,34,-158.7,33.7,177,33,176.3,33,168,34,167.7,34,-173,27,-172.3,27,322953.969,6256685.139,-42.896,21.98,nan,nan,nan,nan
249,24.9,-157,34,-158,34,176,34,176.3,33.3,171,33,169,33.7,-172,28,-172.7,27.3,322954.105,6256682.178,-41.309,22.583,nan,nan,nan,nan
250,25,-157,34,-157.3,34,176,34,176.3,33.7,169,34,169.3,33.7,-171,28,-172,27.7,322954.474,6256680.965,-40.9,22.615,nan,nan,nan,nan
251,25.1,-156,34,-156.7,34,176,34,176,34,172,33,170.7,33.3,-171,27,-171.3,27.7,322954.8,6256678.168,-39.181,22.907,nan,nan,nan,nan
252,25.2,-156,33,-156.3,33.7,178,34,176.7,34,172,32,171,33,-169,29,-170.3,28,322955.662,6256679.643,-40.124,22.609,nan,nan,nan,nan
253,25.3,-154,35,-155.3,34,178,34,177.3,34,171,33,171.7,32.7,-169,29,-169.7,28.3,322956.456,6256679.607,-40.283,22.484,nan,nan,nan,nan
254,25.4,-155,34,-155,34,179,35,178.3,34.3,171,34,171.3,33,-170,30,-169.3,29.3,322957.095,6256680.928,-41.933,22.35,nan,nan,nan,nan
255,25.5,-154,34,-154.3,34.3,-180,35,59,34.7,172,34,171.3,33.7,-170,30,-169.7,29.7,322952.387,6256606.193,11.559,28.307,38.865,28.641,44.477,36.286
256,25.6,-154,34,-154.3,34,-180,35,-60.3,35,172,34,171.7,34,-170,30,-170,30,322944.441,6256604.104,13.9,27.602,42.841,28.731,51.879,29.9
257,25.7,-154,34,-154,34,-180,35,-180,35,172,34,172,34,-167,29,-169,29.7,322958.245,6256680.782,-42.736,22.445,nan,nan,nan,nan
258,25.8,-154,34,-154,34,-179,35,-179.7,35,172,34,172,34,-168,28,-168.3,29,322958.825,6256682.239,-43.418,22.109,nan,nan,nan,nan
259,25.9,-154,34,-154,34,-178,35,-179,35,172,34,172,34,-168,28,-167.7,28.3,322959.593,6256683.954,-44.266,21.739,nan,nan,nan,nan
260,26,-154,34,-154,34,-178,35,-178.3,35,172,34,172,34,-166,29,-167.3,28.3,322960.194,6256685.339,-45.209,21.53,nan,nan,nan,nan
261,26.1,-153,35,-153.7,34.3,-177,35,-177.7,35,172,34,172,34,-167,29,-167,28.7,322960.821,6256686.46,-46.278,21.323,nan,nan,nan,nan
262,26.2,-153,35,-153.3,34.7,-177,35,-177.3,35,172,34,172,34,-166,30,-166.3,29.3,322961.459,6256687.649,-47.6,21.029,nan,nan,nan,nan
263,26.3,-151,36,-152.3,35.3,-177,35,-177,35,173,35,172.3,34.3,-166,30,-166.3,29.7,322961.775,6256686.983,-47.721,21.039,nan,nan,nan,nan
264,26.4,-149,36,-151,35.7,-177,35,-177,35,173,35,172.7,34.7,-164,29,-165.3,29.7,322962.355,6256685.871,-47.32,20.753,nan,nan,nan,nan
265,26.5,-151,36,-150.3,36,-177,35,-177,35,174,34,173.3,34.7,-166,30,-165.3,29.7,322962.475,6256684.908,-46.786,20.886,nan,nan,nan,nan
266,26.6,-151,36,-150.3,36,-176,35,-176.7,35,175,35,174,34.7,-165,30,-165,29.7,322963.095,6256685.875,-47.477,20.81,nan,nan,nan,nan
267,26.7,-151,36,-151,36,-176,35,-176.3,35,173,35,174,34.7,-164,29,-165,29.7,322963.472,6256687.901,-48.851,20.675,nan,nan,nan,nan
268,26.8,-149,36,-150.3,36,-176,35,-176,35,175,35,174.3,35,-164,29,-164.3,29.3,322964.121,6256687.773,-48.798,20.434,nan,nan,nan,nan
269,26.9,-149,36,-149.7,36,-176,35,-176,35,174,34,174,34.7,-162,30,-163.3,29.3,322964.394,6256686.814,-48.13,20.125,nan,nan,nan,nan
270,27,-149,36,-149,36,-175,36,-175.7,35.3,175,35,174.7,34.7,-162,30,-162.7,29.7,322964.948,6256685.897,-47.969,20.218,nan,nan,nan,nan
271,27.1,-149,36,-149,36,-176,35,-175.7,35.3,175,35,174.7,34.7,-162,30,-162,30,322965.349,6256686.513,-48.639,19.98,nan,nan,nan,nan
272,27.2,-148,37,-148.7,36.3,-176,35,-175.7,35.3,175,35,175,35,-162,30,-162,30,322965.523,6256686.599,-48.953,19.95,nan,nan,nan,nan
273,27.3,-147,36,-148,36.3,-174,36,-175.3,35.3,175,35,175,35,-162,31,-162,30.3,322965.583,6256685.613,-48.491,20.041,nan,nan,nan,nan
274,27.4,-147,36,-147.3,36.3,-176,35,-175.3,35.3,176,36,175.3,35.3,-161,31,-161.7,30.7,322965.792,6256684.912,-48.365,20.026,nan,nan,nan,nan
275,27.5,-145,37,-146.3,36.3,-173,35,-174.3,35.3,175,35,175.3,35.3,-161,31,-161.3,31,322966.388,6256684.207,-48.175,19.974,nan,nan,nan,nan
276,27.6,-145,37,-145.7,36.7,-173,35,-174,35,178,35,176.3,35.3,-160,30,-160.7,30.7,322967.386,6256685.086,-48.648,19.619,nan,nan,nan,nan
277,27.7,-144,36,-144.7,36.7,-173,36,-173,35.3,179,35,177.3,35,-161,31,-160.7,30.7,322967.848,6256683.407,-47.629,20.042,nan,nan,nan,nan
278,27.8,-143,36,-144,36.3,-172,36,-172.7,35.7,179,35,178.7,35,-159,30,-160,30.3,322968.459,6256682.269,-46.846,20.21,nan,nan,nan,nan
279,27.9,-143,36,-143.3,36,-172,36,-172.3,36,-179,36,59.7,35.3,-159,30,-159.7,30.3,322949.533,6256631.379,-17.574,18.272,nan,nan,nan,nan
280,28,-144,36,-143.3,36,-172,36,-172,36,-179,36,-59.7,35.7,-159,31,-159,30.3,322955.031,6256638.519,-12.777,23.025,nan,nan,nan,nan
281,28.1,-142,36,-143,36,-172,36,-172,36,-179,36,-179,36,-159,31,-159,30.7,322969.969,6256682.217,-47.644,20.286,nan,nan,nan,nan
282,28.2,-142,35,-142.7,35.7,-172,36,-172,36,-179,36,-179,36,-158,30,-158.7,30.7,322969.954,6256681.437,-47.025,20.261,nan,nan,nan,nan
283,28.3,-143,37,-142.3,36,-171,36,-171.7,36,-177,36,-178.3,36,-158,31,-158.3,30.7,322970.607,6256681.953,-47.595,20.163,nan,nan,nan,nan
284,28.4,-140,36,-141.7,36,-171,36,-171.3,36,-178,37,-178,36.3,-158,31,-158,30.7,322971.022,6256681.651,-47.599,20.069,nan,nan,nan,nan
285,28.5,-142,35,-141.7,36,-170,37,-170.7,36.3,-178,37,-177.7,36.7,-156,32,-157.3,31.3,322972.01,6256682.646,-49.145,20.006,nan,nan,nan,nan
286,28.6,-141,37,-141,36,-170,37,-170.3,36.7,-177,36,-177.7,36.7,-156,31,-156.7,31.3,322972.201,6256681.447,-48.597,19.993,nan,nan,nan,nan
287,28.7,-142,35,-141.7,35.7,-170,37,-170,37,-178,37,-177.7,36.7,-156,31,-156,31.3,322972.835,6256682.384,-49.44,19.906,nan,nan,nan,nan
288,28.8,-142,36,-141.7,36,-170,37,-170,37,-175,36,-176.7,36.3,-155,31,-155.7,31,322973.414,6256682.976,-49.746,19.844,nan,nan,nan,nan
289,28.9,-140,36,-141.3,35.7,-170,36,-170,36.7,-176,37,-176.3,36.7,-155,31,-155.3,31,322973.846,6256683.332,-49.898,19.609,nan,nan,nan,nan
290,29,-140,36,-140.7,36,-170,37,-170,36.7,-175,36,-175.3,36.3,-154,31,-154.7,31,322974.287,6256682.693,-49.571,19.555,nan,nan,nan,nan
291,29.1,-140,36,-140,36,-168,37,-169.3,36.7,-175,38,-175.3,37,-155,32,-154.7,31.3,322974.805,6256682.876,-50.249,19.491,nan,nan,nan,nan
292,29.2,-140,36,-140,36,-170,37,-169.3,37,-174,38,-174.7,37.3,-154,31,-154.3,31.3,322975.126,6256682.798,-50.575,19.571,nan,nan,nan,nan
293,29.3,-140,36,-140,36,-170,37,-169.3,37,-175,38,-174.7,38,-155,32,-154.7,31.7,322975.154,6256683.232,-51.306,19.61,nan,nan,nan,nan
294,29.4,-140,36,-140,36,-168,37,-169.3,37,-174,38,-174.3,38,-154,31,-154.3,31.3,322975.499,6256683.507,-51.379,19.477,nan,nan,nan,nan
295,29.5,-140,36,-140,36,-168,36,-168.7,36.7,-174,38,-174.3,38,-154,31,-154.3,31.3,322976.391,6256685.151,-52.494,19.222,nan,nan,nan,nan
296,29.6,-140,36,-140,36,-168,37,-168,36.7,-174,37,-174,37.7,-154,31,-154,31,322977.239,6256685.962,-52.9,19.103,nan,nan,nan,nan
297,29.7,-138,36,-139.3,36,-168,37,-168,36.7,-176,41,-174.7,38.7,-153,32,-153.7,31.3,322977.167,6256685.323,-53.097,18.836,nan,nan,nan,nan
298,29.8,-138,37,-138.7,36.3,-168,37,-168,37,-174,39,-174.7,39,-152,33,-153,32,322977.239,6256684.303,-53.327,18.826,nan,nan,nan,nan
299,29.9,-138,37,-138,36.7,-167,36,-167.7,36.7,-171,39,-173.7,39.7,-152,33,-152.3,32.7,322978.622,6256685.62,-55.194,18.433,nan,nan,nan,nan
300,30,-138,37,-138,37,-166,37,-167,36.7,-173,39,-172.7,39,-152,33,-152,33,322979.845,6256686.94,-56.467,18.475,nan,nan,nan,nan
301,30.1,-137,36,-137.7,36.7,-166,37,-166.3,36.7,-171,38,-171.7,38.7,-149,32,-151,32.7,322981.126,6256687.194,-56.501,18.296,nan,nan,nan,nan
302,30.2,-134,36,-136.3,36.3,-165,37,-165.7,37,-171,38,-171.7,38.3,-149,32,-150,32.3,322980.904,6256684.014,-54.076,18.384,nan,nan,nan,nan
303,30.3,-135,36,-135.3,36,-164,37,-165,37,-173,39,-171.7,38.3,-149,32,-149,32,322981.31,6256682.571,-52.943,18.153,nan,nan,nan,nan
304,30.4,-135,36,-134.7,36,-164,37,-164.3,37,-171,38,-171.7,38.3,-149,32,-149,32,322981.498,6256681.96,-52.594,18.208,nan,nan,nan,nan
305,30.5,-136,37,-135.3,36.3,-164,37,-164,37,-170,38,-171.3,38.3,-149,32,-149,32,322982.576,6256684.134,-54.451,18.054,nan,nan,nan,nan
306,30.6,-137,36,-136,36.3,-163,37,-163.7,37,-172,40,-171,38.7,-150,33,-149.3,32.3,322983.477,6256686.242,-56.417,18.085,nan,nan,nan,nan
307,30.7,-134,36,-135.7,36.3,-163,37,-163.3,37,-170,37,-170.7,38.3,-147,32,-148.7,32.3,322983.97,6256685.887,-56.207,17.994,nan,nan,nan,nan
308,30.8,-136,38,-135.7,36.7,-163,37,-163,37,-169,38,-170.3,38.3,-148,32,-148.3,32.3,322984.871,6256686.921,-57.303,17.802,nan,nan,nan,nan
309,30.9,-136,38,-135.3,37.3,-163,37,-163,37,-169,38,-169.3,37.7,-148,32,-147.7,32,322985.607,6256687.071,-57.422,17.614,nan,nan,nan,nan
310,31,-136,37,-136,37.7,-162,36,-162.7,36.7,-168,37,-168.7,37.7,-149,32,-148.3,32,322987.082,6256690.525,-60.016,17.47,nan,nan,nan,nan
311,31.1,-134,36,-135.3,37,-162,37,-162.3,36.7,-169,38,-168.7,37.7,-145,33,-147.3,32.3,322987.055,6256688.615,-58.724,17.464,nan,nan,nan,nan
312,31.2,-134,38,-134.7,37,-162,37,-162,36.7,-168,37,-168.3,37.3,-148,32,-147.3,32.3,322986.844,6256687.315,-57.664,17.67,nan,nan,nan,nan
313,31.3,-136,37,-134.7,37,-162,37,-162,37,-169,38,-168.7,37.7,-149,32,-147.3,32.3,322986.491,6256686.736,-57.537,17.774,nan,nan,nan,nan
314,31.4,-134,36,-134.7,37,-162,37,-162,37,-166,38,-167.7,37.7,-149,32,-148.7,32,322986.3,6256687.123,-57.431,18.25,nan,nan,nan,nan
315,31.5,-133,38,-134.3,37,-162,37,-162,37,-167,38,-167.3,38,-144,31,-147.3,31.7,322987.331,6256687.362,-57.885,17.662,nan,nan,nan,nan
316,31.6,-133,38,-133.3,37.3,-162,37,-162,37,-167,38,-166.7,38,-149,32,-147.3,31.7,322987.06,6256685.957,-57.034,17.758,nan,nan,nan,nan
317,31.7,-136,37,-134,37.7,-162,37,-162,37,-166,38,-166.7,38,-146,32,-146.3,31.7,322988.392,6256687.897,-58.901,17.225,nan,nan,nan,nan
318,31.8,-133,35,-134,36.7,-160,38,-161.3,37.3,-169,40,-167.3,38.7,-145,33,-146.7,32.3,322987.949,6256686.954,-58.628,17.734,nan,nan,nan,nan
319,31.9,-130,36,-133,36,-161,36,-161,37,-165,38,-166.7,38.7,-149,32,-146.7,32.3,322987.789,6256685.409,-57.059,17.87,nan,nan,nan,nan
320,32,-134,36,-132.3,35.7,-162,37,-161,37,-165,39,-166.3,39,-148,32,-147.3,32.3,322986.906,6256683.821,-55.714,18.224,nan,nan,nan,nan
321,32.1,-134,36,-132.7,36,-161,36,-161.3,36.3,-166,37,-165.3,38,-149,32,-148.7,32,322986.772,6256684.983,-55.455,18.446,nan,nan,nan,nan
322,32.2,-134,36,-134,36,-160,37,-161,36.7,-166,37,-165.7,37.7,-143,33,-146.7,32.3,322989.113,6256688.005,-58.479,17.856,nan,nan,nan,nan
323,32.3,-134,37,-134,36.3,-158,36,-159.7,36.3,-164,37,-165.3,37,-145,33,-145.7,32.7,322991.501,6256690.089,-60.46,17.509,nan,nan,nan,nan
324,32.4,-134,36,-134,36.3,-158,38,-158.7,37,-164,37,-164.7,37,-145,34,-144.3,33.3,322992.748,6256689.645,-61.507,17.789,nan,nan,nan,nan
325,32.5,-132,38,-133.3,37,-159,36,-158.3,36.7,-165,38,-164.3,37.3,-142,33,-144,33.3,322994.147,6256690.956,-63.1,17.253,nan,nan,nan,nan
326,32.6,-131,38,-132.3,37.3,-158,37,-158.3,37,-165,38,-164.7,37.7,-143,33,-143.3,33.3,322993.191,6256688.256,-61.632,17.192,nan,nan,nan,nan
327,32.7,-131,38,-131.3,38,-158,38,-158.3,37,-164,39,-164.7,38.3,-144,33,-143,33,322993.377,6256687.704,-61.775,16.708,nan,nan,nan,nan
328,32.8,-132,37,-131.3,37.7,-159,37,-158.3,37.3,-164,39,-164.3,38.7,-141,33,-142.7,33,322993.485,6256687.293,-61.768,16.827,nan,nan,nan,nan
329,32.9,-130,36,-131,37,-158,38,-158.3,37.7,-163,37,-163.7,38.3,-142,32,-142.3,32.7,322992.792,6256685.208,-59.703,17.231,nan,nan,nan,nan
330,33,-130,36,-130.7,36.3,-157,39,-158,38,-163,37,-163.3,37.7,-142,32,-141.7,32.3,322991.915,6256682.49,-57.077,17.641,nan,nan,nan,nan
331,33.1,-129,36,-129.7,36,-157,37,-157.3,38,-163,38,-163,37.3,-140,32,-141.3,32,322991.636,6256680.553,-55.284,17.774,nan,nan,nan,nan
332,33.2,-129,36,-129.3,36,-157,37,-157,37.7,-162,37,-162.7,37.3,-140,32,-140.7,32,322992.641,6256681.038,-55.778,17.428,nan,nan,nan,nan
333,33.3,-129,36,-129,36,-157,38,-157,37.3,-162,37,-162.3,37.3,-140,32,-140,32,322993.264,6256681.176,-55.923,17.077,nan,nan,nan,nan
334,33.4,-129,36,-129,36,-157,38,-157,37.7,-162,37,-162,37,-140,32,-140,32,322992.778,6256680.26,-55.238,17.41,nan,nan,nan,nan
335,33.5,-129,36,-129,36,-157,38,-157,38,-161,38,-161.7,37.3,-140,31,-140,31.7,322992.889,6256680.199,-55.351,17.459,nan,nan,nan,nan
336,33.6,-127,35,-128.3,35.7,-156,37,-156.7,37.7,-162,37,-161.7,37.3,-139,32,-139.7,31.7,322993.02,6256679.574,-54.705,17.301,nan,nan,nan,nan
337,33.7,-125,36,-127,35.7,-156,37,-156.3,37.3,-162,37,-161.7,37.3,-137,32,-138.7,31.7,322992.98,6256677.895,-53.547,16.966,nan,nan,nan,nan
338,33.8,-125,36,-125.7,35.7,-155,36,-155.7,36.7,-162,37,-162,37,-137,32,-137.7,32,322992.998,6256676.325,-52.379,16.651,nan,nan,nan,nan
339,33.9,-125,36,-125,36,-153,38,-154.7,37,-160,36,-161.3,36.7,-136,32,-136.7,32,322993.628,6256675.208,-52.187,16.79,nan,nan,nan,nan
340,34,-124,36,-124.7,36,-154,37,-154,37,-159,37,-160.3,36.7,-136,32,-136.3,32,322994.825,6256675.625,-52.898,16.79,nan,nan,nan,nan
341,34.1,-124,36,-124.3,36,-153,38,-153.3,37.7,-159,37,-159.3,36.7,-136,32,-136,32,322995.167,6256674.793,-52.919,17.213,nan,nan,nan,nan
342,34.2,-121,35,-123,35.7,-153,37,-153.3,37.3,-162,37,-160,37,-136,32,-136,32,322994.132,6256673.111,-51.363,17.062,nan,nan,nan,nan
343,34.3,-121,35,-122,35.3,-151,36,-152.3,37,-160,37,-160.3,37,-138,33,-136.7,32.3,322993.787,6256672.224,-50.576,17.346,nan,nan,nan,nan
344,34.4,-123,35,-121.7,35,-152,37,-152,36.7,-161,38,-161,37.3,-135,33,-136.3,32.7,322993.642,6256671.683,-50.23,17.249,nan,nan,nan,nan
345,34.5,-121,35,-121.7,35,-153,38,-152,37,-159,36,-160,37,-136,32,-136.3,32.7,322993.777,6256671.51,-50.235,17.513,nan,nan,nan,nan
346,34.6,-120,35,-121.3,35,-152,37,-152.3,37.3,-159,37,-159.7,37,-136,32,-135.7,32.3,322993.472,6256670.576,-49.592,17.434,nan,nan,nan,nan
347,34.7,-120,35,-120.3,35,-152,37,-152.3,37.3,-159,36,-159,36.3,-132,32,-134.7,32,322993.021,6256668.747,-47.997,17.361,nan,nan,nan,nan
348,34.8,-119,35,-119.7,35,-152,37,-152,37,-159,36,-159,36.3,-132,32,-133.3,32,322993.414,6256667.939,-47.594,17.013,nan,nan,nan,nan
349,34.9,-120,35,-119.7,35,-152,38,-152,37.3,-158,37,-158.7,36.3,-133,33,-132.3,32.3,322993.221,6256666.933,-47.34,17.168,nan,nan,nan,nan
350,35,-118,36,-119,35.3,-150,38,-151.3,37.7,-158,37,-158.3,36.7,-132,32,-132.3,32.3,322993.666,6256666.722,-47.816,17.268,nan,nan,nan,nan
351,35.1,-119,35,-119,35.3,-150,38,-150.7,38,-159,36,-158.3,36.7,-132,32,-132.3,32.3,322993.751,6256666.397,-47.824,17.526,nan,nan,nan,nan
352,35.2,-119,36,-118.7,35.7,-150,38,-150,38,-158,37,-158.3,36.7,-132,32,-132,32,322994.319,6256666.352,-47.986,17.4,nan,nan,nan,nan
353,35.3,-116,34,-118,35,-149,37,-149.7,37.7,-155,36,-157.3,36.3,-132,32,-132,32,322994.577,6256665.948,-47.35,17.471,nan,nan,nan,nan
354,35.4,-116,36,-117,35.3,-149,38,-149.3,37.7,-155,36,-156,36.3,-131,32,-131.7,32,322995.372,6256665.764,-47.745,17.39,nan,nan,nan,nan
355,35.5,-116,34,-116,34.7,-149,37,-149,37.3,-155,36,-155,36,-132,32,-131.7,32,322995.311,6256664.897,-46.738,17.476,nan,nan,nan,nan
356,35.6,-116,34,-116,34.7,-149,37,-149,37.3,-155,36,-155,36,-129,31,-130.7,31.7,322995.587,6256664.564,-46.529,17.226,nan,nan,nan,nan
357,35.7,-117,36,-116.3,34.7,-149,37,-149,37,-155,36,-155,36,-131,32,-130.7,31.7,322996.224,6256665.408,-47.084,17.037,nan,nan,nan,nan
358,35.8,-116,34,-116.3,34.7,-149,37,-149,37,-155,36,-155,36,-131,32,-130.3,31.7,322996.243,6256665.22,-47.004,16.995,nan,nan,nan,nan
359,35.9,-116,36,-116.3,35.3,-149,37,-149,37,-155,36,-155,36,-131,33,-131,32.3,322996.314,6256665.8,-47.952,17.167,nan,nan,nan,nan
360,36,-116,34,-116,34.7,-149,37,-149,37,-153,36,-154.3,36,-130,31,-130.7,32,322996.354,6256665.275,-47.266,17.136,nan,nan,nan,nan
361,36.1,-116,34,-116,34.7,-149,37,-149,37,-154,35,-154,35.7,-130,32,-130.3,32,322996.303,6256664.932,-46.963,17.175,nan,nan,nan,nan
362,36.2,-116,34,-116,34,-148,36,-148.7,36.7,-154,35,-153.7,35.3,-130,32,-130,31.7,322996.64,6256664.795,-46.335,17.098,nan,nan,nan,nan
363,36.3,-116,34,-116,34,-146,37,-147.7,36.7,-154,35,-154,35,-130,32,-130,32,322996.597,6256664.31,-46.125,17.443,nan,nan,nan,nan
364,36.4,-116,34,-116,34,-144,37,-146,36.7,-154,35,-154,35,-129,33,-129.7,32.3,322997.428,6256664.086,-46.537,17.796,nan,nan,nan,nan
365,36.5,-116,34,-116,34,-144,37,-144.7,37,-154,35,-154,35,-129,32,-129.3,32.3,322997.611,6256663.322,-46.371,18.185,nan,nan,nan,nan
366,36.6,-115,34,-115.7,34,-146,37,-144.7,37,-153,34,-153.7,34.7,-127,32,-128.3,32.3,322997.334,6256662.261,-45.641,18.141,nan,nan,nan,nan
367,36.7,-115,34,-115.3,34,-144,37,-144.7,37,-154,35,-153.7,34.7,-127,31,-127.7,31.7,322997.483,6256661.875,-45.179,17.847,nan,nan,nan,nan
368,36.8,-113,35,-114.3,34.3,-144,38,-144.7,37.3,-153,36,-153.3,35,-127,32,-127,31.7,322997.249,6256660.841,-44.983,17.786,nan,nan,nan,nan
369,36.9,-113,35,-113.7,34.7,-144,37,-144,37.3,-152,36,-153,35.7,-127,32,-127,31.7,322998.373,6256661.316,-46.077,17.661,nan,nan,nan,nan
370,37,-113,35,-113,35,-144,37,-144,37.3,-152,36,-152.3,36,-127,32,-127,32,322998.954,6256661.54,-46.903,17.582,nan,nan,nan,nan
371,37.1,-114,34,-113.3,34.7,-143,37,-143.7,37,-152,35,-152,35.7,-126,32,-126.7,32,322999.506,6256661.744,-46.864,17.587,nan,nan,nan,nan
372,37.2,-114,34,-113.7,34.3,-144,37,-143.7,37,-148,36,-150.7,35.7,-127,32,-126.7,32,323000.859,6256662.794,-47.895,17.575,nan,nan,nan,nan
373,37.3,-114,34,-114,34,-143,37,-143.3,37,-148,36,-149.3,35.7,-125,31,-126,31.7,323002.575,6256663.572,-48.777,17.46,nan,nan,nan,nan
374,37.4,-111,34,-113,34,-143,37,-143.3,37,-148,36,-148,36,-124,31,-125.3,31.3,323003.648,6256663.448,-49.203,17.112,nan,nan,nan,nan
