X,Y,Z
-5.276831021066755056e+00,2.547409469261765480e-01,3.817202122150469279e+00
-5.277004052652046084e+00,2.538435189053416252e-01,3.817202122150469279e+00
-5.276524338580202311e+00,2.512015672400593758e-01,3.817202122150469279e+00
-5.276716589985881001e+00,2.474906966090202332e-01,3.817202122150469279e+00
-5.276189902971964329e+00,2.448832718655467033e-01,3.817202122150469279e+00
-5.275724510196596384e+00,2.443558927625417709e-01,3.817202122150469279e+00
-5.275812769425101578e+00,2.365639926865696907e-01,3.817202122150469279e+00
-5.276176379993557930e+00,2.358163064345717430e-01,3.817202122150469279e+00
-5.276569637702777982e+00,2.360924296081066132e-01,3.817202122150469279e+00
-5.277622762252576649e+00,2.373761041089892387e-01,3.817202122150469279e+00
-5.278029184672050178e+00,2.372757429257035255e-01,3.817202122150469279e+00
-5.275368087342940271e+00,2.368427840992808342e-01,3.817202122150469279e+00
-5.271750798798166215e+00,2.402268210425972939e-01,3.817202122150469279e+00
-5.267738195718266070e+00,2.478632684797048569e-01,3.817202122150469279e+00
-5.260109366907272488e+00,2.552408706396818161e-01,3.817202122150469279e+00
-5.243808755301870406e+00,2.741341898217797279e-01,3.817202122150469279e+00
-5.229435662331525236e+00,2.885908288881182671e-01,3.817202122150469279e+00
-5.219433466903865337e+00,3.099985979497432709e-01,3.817202122150469279e+00
-5.209661711938679218e+00,3.214392242953181267e-01,3.817202122150469279e+00
-5.208710554812569171e+00,3.280174499377608299e-01,3.817202122150469279e+00
-5.204271293012425303e+00,3.339494271203875542e-01,3.817202122150469279e+00
-5.205612366436980665e+00,3.318378804251551628e-01,3.717202118950474699e+00
-5.208115297544281930e+00,3.293896857649087906e-01,3.517202112550471327e+00
-5.203498302958905697e+00,3.294598115608096123e-01,3.417202109350462536e+00
-5.207656559185124934e+00,3.230832321569323540e-01,3.317202106150467955e+00
-5.207387691480107605e+00,3.154378281906247139e-01,3.117202099750464583e+00
-5.205996137112379074e+00,3.045717375352978706e-01,2.917202093350468317e+00
-5.203994083742145449e+00,2.990467306226491928e-01,2.817202090150466631e+00
-5.201953853247687221e+00,2.871596822515130043e-01,2.717202086950472051e+00
-5.200513610034249723e+00,2.774986382573843002e-01,2.617202083750470365e+00
-5.198710352240595967e+00,2.685658596456050873e-01,2.517202080550468679e+00
-5.204216056503355503e+00,2.617235751822590828e-01,2.317202074150472413e+00
-5.201374320022296160e+00,2.599016791209578514e-01,2.217202070950470727e+00
-5.189846225548535585e+00,2.616149811074137688e-01,2.217202070950470727e+00
-5.190275937144178897e+00,2.649912824854254723e-01,2.117202067750469041e+00
-5.195946915308013558e+00,2.636321075260639191e-01,2.017202064550467355e+00
-5.195445614168420434e+00,2.681698501110076904e-01,1.917202061350465669e+00
-5.194064232753589749e+00,2.736384877935051918e-01,1.817202058150471089e+00
-5.193733148335013539e+00,2.792711416259407997e-01,1.717202054950462298e+00
-5.199101833102758974e+00,2.724142363294959068e-01,1.717202054950462298e+00
