Audio_Time,CSV_Time,Estimated_Azimuth,Estimated_Elevation,CSV_Azimuth,CSV_Elevation,Azimuth_Diff,Elevation_Diff,Distance_Meters
0.0,0,68,8,-50.0,-5.0,118.0,13.0,5.219610280335723
0.1,100,68,8,-49.99784603103831,-4.999949093430524,117.9978460310383,12.999949093430523,5.219902612884003
0.2,200,68,8,-49.99526294035837,-4.999866434698078,117.99526294035837,12.999866434698077,5.220377352975517
0.3,300,68,8,-49.95200323410401,-5.000045270485938,117.95200323410404,13.000045270485938,5.219350340679634
0.4,400,68,8,-49.94500146833494,-5.000092476364041,117.94500146833491,13.000092476364042,5.2190793157265345
0.5,500,68,8,-49.88043519866568,-5.000141893833673,117.88043519866568,13.000141893833673,5.218795623434618
0.6,600,68,8,-49.931994956167955,-4.998453256517342,117.93199495616796,12.998453256517342,5.228507145954919
0.7,700,68,8,-49.84175863040025,-4.998470881578185,117.84175863040025,12.998470881578186,5.228405595787007
0.8,800,68,8,-49.92481247571817,-4.998483835898617,117.92481247571817,12.998483835898618,5.228330959501096
0.9,900,68,8,-49.84491615315841,-4.998486533657187,117.84491615315841,12.998486533657186,5.228315416639727
1.0,1000,68,8,-49.93554761174153,-4.9985098478436125,117.93554761174153,12.998509847843613,5.228181098178607
1.1,1100,68,8,-49.87674767620973,-4.9986665052355175,117.87674767620973,12.998666505235517,5.227278737416092
1.2,1200,68,8,-49.83666586262956,-4.99891888107138,117.83666586262956,12.99891888107138,5.225825684759415
1.3,1300,68,8,-49.8994513513822,-4.999012798388129,117.8994513513822,12.99901279838813,5.225285162510036
1.4,1400,68,8,-49.92571683047851,-4.998719934116793,117.9257168304785,12.998719934116792,5.226971053459844
1.5,1500,68,8,-49.86091869740872,-4.998878340143511,117.86091869740869,12.998878340143511,5.226059044486012
1.6,1600,68,8,-49.97420608044129,-4.998819409382123,117.97420608044126,12.998819409382122,5.22639829605567
1.7,1700,68,8,-49.895050603762286,-4.999155849942167,117.89505060376229,12.999155849942166,5.224462072886257
1.8,1800,68,8,-49.95455221042562,-4.998556567391281,117.95455221042562,12.998556567391281,5.2279119567503844
1.9,1900,68,8,-49.898834113598156,-4.998487173058027,117.89883411359813,12.998487173058027,5.22831173281042
2.0,2000,68,8,-49.979942947659424,-4.99640889294189,117.97994294765942,12.99640889294189,5.240312968025435
2.1,2100,68,8,-49.931646802512574,-3.9030480382132438,117.93164680251255,11.903048038213244,5.241505525215478
2.2,2200,68,8,-49.95319373284349,-3.9031645873143135,117.95319373284349,11.903164587314313,5.244756296105536
2.3,2300,68,8,-50.13172581523352,-2.8109062550272044,118.1317258152335,10.810906255027204,5.2459329794128
2.4,2400,68,8,-50.321543457191666,-1.7237829217725853,118.32154345719164,9.723782921772585,5.25843019443288
2.5,2500,68,8,-50.4237085494525,-0.6401177880040607,118.4237085494525,8.64011778800406,5.269630671415819
2.6,2600,68,8,-50.63678917969867,0.4385671802344664,118.63678917969867,7.561432819765534,5.282707122819129
2.7,2700,68,8,-50.58343388773841,2.588873101927181,118.58343388773841,5.411126898072819,5.305917052556398
2.8,2800,60,8,-50.808681804256736,5.777318015862359,110.80868180425671,2.2226819841376413,5.3516792418164085
2.9,2900,60,16,-50.80747453243947,8.90137765308598,110.80747453243947,7.09862234691402,5.414048409807248
3.0,3000,60,16,-50.88161263896308,12.937589430558216,110.88161263896308,3.0624105694417842,5.52228264768614
3.1,3100,60,16,-51.44042971597611,16.75712557311588,111.44042971597611,0.7571255731158786,5.667994322448188
3.2,3200,60,16,-51.80400516296362,20.401623042492478,111.80400516296362,4.401623042492478,5.830519897665563
3.3,3300,60,16,-52.42232583675114,22.96157426576731,112.42232583675116,6.961574265767311,5.974377586983277
3.4,3400,60,24,-52.90690562764489,25.420176016970938,112.9069056276449,1.420176016970938,6.125121751307722
3.5,3500,60,24,-53.23965401324823,27.757619337154935,113.23965401324824,3.757619337154935,6.286412588121655
3.6,3600,60,24,-53.19720574515037,29.31606692856126,113.19720574515037,5.316066928561259,6.388118703533156
